id,display_name,reputation,num_answers
1144035,Gordon Linoff,1211186,85130
3732271,akrun,817703,36082
22656,Jon Skeet,1357603,35491
1491895,Barmar,694414,30581
2901002,jezrael,755922,28976
6309,VonC,1156679,28629
548225,anubhava,730750,25326
19068,Quentin,874809,23942
115145,CommonsWare,964739,22690
157247,T.J. Crowder,980540,22000
29407,Darin Dimitrov,1003275,21434
1863229,Tim Biegeleisen,469013,20632
100297,Martijn Pieters,985470,19900
3832970,Wiktor Stribiżew,576960,19655
157882,BalusC,1053483,17090
3962914,Ronak Shah,361123,16794
23354,Marc Gravell,989863,16439
17034,Hans Passant,904625,16087
335858,Sergey Kalinichenko,702533,15967
209103,Frank van Puffelen,520559,15711